lake,ecotype,group,id,sex,group.loc.sex,mass,length,ventricle.mg,liver.g,per.red.muscle,WMprotein20x,COX.wm,COX.wm.prot,CS.wm,CS.wm.prot,MDH.wm,MDH.wm.prot,CPK.wm,CPK.wm.prot,PGI.wm,PGI.wm.prot,PFK.wm,PFK.wm.prot,TPI.wm,TPI.wm.prot,PK.wm,PK.wm.prot,LDH.wm,LDH.wm.prot,WMprotein10x,ActiveGPase,ActiveGPase.protein,TotalGPase,TotalGPase.protein,ActiveGSase,ActiveGSase.protein,TotalGSase,TotalGSase.protein,GPDH,GPDH.protein,ProteinLiv.20x,COX.liv,COX.liv.prot,HOAD.liv,HOAD.liv.prot,CS.liv,CS.liv.prot,MDH.liv,MDH.liv.prot,CPK.liv,CPK.liv.prot,PGI.liv,PGI.liv.prot,PFK.liv,PFK.liv.prot,TPI.liv,TPI.liv.prot,ADL.liv,ADL.liv.prot,GAPDH.liv,GAPDH.liv.prot,PK.liv,PK.liv.prot,LDH.liv,LDH.liv.prot,Notes.SampleQuality,Notes.EcotypeClassification,Notes.other,Labels.Notes
cliff,dwarf,cd,CD19,M,cd-male,,,,,,129.44,2.59,0.020009271,2.287764706,0.017674326,24.50846731,0.1893423,1237.470525,9.56018638,232.7438371,1.798082796,23.77234727,0.18365534,3399.142551,26.26037199,315.0382279,2.433855284,198.0707395,1.530212759,,,,,,,,,,,,119.84,7.48,0.062416555,2.09,0.0174,4.25,0.0355,81.45,0.68,325.19,2.71,29,0.242,1.13,0.0094,481.03,4.01,5.77,0.0481,16.82,0.14,1.33,0.0111,18.41,0.15358098,,,,
cliff,dwarf,cd,CD2,F,cd-female,149.6,24.7,130,1.4,3.93,133.56,2.06,0.01542378,2.552941176,0.019114564,17.43954984,0.130574647,1219.453376,9.130378676,259.807074,1.945246137,34.85744909,0.26098719,3518.762058,26.34592736,298.3136835,2.233555582,232.1028939,1.737817415,,,,,,,,,,,,176.68,7.83,0.04431741,3.01,0.0171,3.59,0.0203,85.4,0.483,230.71,1.31,33.26,0.1882,1.52,0.0086,301.19,1.7,5.62,0.0318,14.77,0.084,,,13.8,0.078129152,,,,
cliff,dwarf,cd,CD20,F,cd-female,140,24.6,140,1.29,3.654,120.84,1.69,0.013985435,1.806617647,0.014950494,35.93997856,0.297417896,1155.734191,9.564169075,252.6732047,2.090973227,32.80064309,0.271438622,4172.068596,34.52555938,318.7152554,2.637497976,223.5498392,1.849965568,93.51,1.12,0.011977329,20.78,0.222222222,0.2,0.002138809,2.18,0.023313015,28.63,0.306170463,181.64,7.41,0.040794979,1.36,0.0075,2.9,0.0159,53.51,0.295,153.8,0.85,44.63,0.2457,1.38,0.0076,,,4.75,0.0262,14.69,0.081,1.04,0.0057,10.9,0.059984026,,,,
cliff,dwarf,cd,CD21,F,cd-female,114.9,22.4,90,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cliff,dwarf,cd,CD22,F,cd-female,164.4,24.7,120,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cliff,dwarf,cd,CD23,F,cd-female,104.5,21.4,90,0.9,4.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cliff,dwarf,cd,CD3,F,cd-female,148.1,24.8,100,1.49,4.168,130.68,2.14,0.01637588,2.623970588,0.020079359,31.60986066,0.241887517,1192.207931,9.123109359,297.0460879,2.27307995,30.26752412,0.231615581,7556.055734,57.82105704,407.2011433,3.116017319,213.3762058,1.632814553,89.54,0.1,0.001116819,15.96,0.17824436,0,0,2.29,0.025575162,17.53,0.195778423,100.28,6.28,0.062624651,0.92,0.0092,3.66,0.0365,58.02,0.579,184.57,1.84,33.91,0.3381,1.86,0.0185,486.5,4.85,6.4,0.0639,15.55,0.155,1.98,0.0198,10.16,0.101291945,,,,
cliff,dwarf,cd,CD4,F,cd-female,129.3,25,100,1.35,3.243,144.6,1.77,0.012240664,1.549264706,0.01071414,25.26623794,0.174731936,1240.107181,8.576121584,218.454448,1.510749986,29.73491961,0.205635682,4005.359057,27.69957854,295.3483387,2.042519631,198.9710611,1.376010104,81.48,5.73,0.070324006,16.32,0.200294551,0.08,0.000981836,2.09,0.025650466,10.61,0.130216004,138.88,7.09,0.051051267,1.69,0.0122,3.82,0.0275,90.52,0.652,214.89,1.55,34.07,0.2453,1.26,0.0091,420.9,3.03,4.01,0.0289,18.4,0.132,1.52,0.0109,15.28,0.110021189,,,,
cliff,dwarf,cd,CD5,M,cd-male,96.3,20.8,100,0.86,3.067,131.16,2.58,0.019670631,2.882352941,0.021975853,35.50696677,0.270714904,982.4619507,7.490560771,168.8745981,1.287546494,21.75884244,0.165895414,3366.666667,25.66839484,341.607717,2.604511414,238.585209,1.81903941,101.68,0.22,0.002163651,16.61,0.163355625,0.25,0.002458694,1.9,0.018686074,12.07,0.118705744,182.72,9.63,0.05270359,1.46,0.008,4.79,0.0262,121.42,0.665,665.76,3.64,32.78,0.1794,1.11,0.0061,437.3,2.39,6.1,0.0334,17.71,0.097,1.89,0.0103,16.56,0.090632057,,,,
cliff,dwarf,cd,CD6,M,cd-male,141,24.3,90,0.93,3.579,131.08,1.99,0.015181569,2.007352941,0.015313953,23.3988746,0.178508351,1318.327974,10.05743038,184.0300107,1.403951867,20.45980707,0.156086413,3236.76313,24.69303578,279.5845659,2.132930774,184.7909968,1.409757376,,,,,,,,,,,,144.76,7.16,0.049461177,2.44,0.0169,4.55,0.0314,94.56,0.653,224.12,1.55,32.29,0.2231,1.18,0.0081,563.02,3.89,5.48,0.0378,17.13,0.118,1.79,0.0124,19.49,0.134639083,,,,
